time,Pipe-T,Ambient-T,Heater-PWM,Fan-PWM,Traj y,Traj dy,Traj ddy,Dist y
0.52,19.643870967741936,17.708387096774196,0.0,0.25,0.0,0.0,0.0,0.25
0.54,18.740645161290324,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
0.56,18.482580645161292,18.740645161290324,0.0,0.25,0.0,0.0,0.0,0.25
0.58,18.740645161290324,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
0.6,18.22451612903226,18.482580645161292,0.0,0.25,0.0,0.0,0.0,0.25
0.62,18.482580645161292,17.708387096774196,0.0,0.25,0.0,0.0,0.0,0.25
0.64,18.095483870967744,16.934193548387096,0.0,0.25,0.0,0.0,0.0,0.25
0.66,18.86967741935484,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
0.68,19.127741935483872,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
0.7,19.127741935483872,18.86967741935484,0.0,0.25,0.0,0.0,0.0,0.25
0.72,18.740645161290324,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
0.74,18.22451612903226,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
0.76,18.740645161290324,18.86967741935484,0.0,0.25,0.0,0.0,0.0,0.25
0.78,17.966451612903228,18.22451612903226,0.0,0.25,0.0,0.0,0.0,0.25
0.8,18.095483870967744,18.740645161290324,0.0,0.25,0.0,0.0,0.0,0.25
0.82,17.966451612903228,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
0.84,18.22451612903226,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
0.86,17.450322580645164,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
0.88,19.256774193548388,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
0.9,18.998709677419356,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
0.92,18.998709677419356,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
0.94,18.740645161290324,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
0.96,17.450322580645164,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
0.98,17.966451612903228,17.321290322580648,0.0,0.25,0.0,0.0,0.0,0.25
1.0,19.256774193548388,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
1.02,18.740645161290324,18.998709677419356,0.0,0.25,0.0,0.0,0.0,0.25
1.04,19.256774193548388,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
1.06,18.095483870967744,18.998709677419356,0.0,0.25,0.0,0.0,0.0,0.25
1.08,17.450322580645164,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
1.1,18.22451612903226,16.80516129032258,0.0,0.25,0.0,0.0,0.0,0.25
1.12,17.708387096774196,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
1.14,19.127741935483872,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
1.16,17.450322580645164,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
1.18,18.095483870967744,17.063225806451616,0.0,0.25,0.0,0.0,0.0,0.25
1.2,19.385806451612904,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
1.22,18.86967741935484,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
1.24,18.095483870967744,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
1.26,17.192258064516132,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
1.28,18.611612903225808,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
1.3,18.095483870967744,17.063225806451616,0.0,0.25,0.0,0.0,0.0,0.25
1.32,17.192258064516132,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
1.34,18.22451612903226,18.611612903225808,0.0,0.25,0.0,0.0,0.0,0.25
1.36,19.51483870967742,18.86967741935484,0.0,0.25,0.0,0.0,0.0,0.25
1.38,18.611612903225808,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
1.4,18.86967741935484,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
1.42,17.192258064516132,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
1.44,18.86967741935484,17.966451612903228,0.0,0.25,0.0,0.0,0.0,0.25
1.46,17.708387096774196,17.57935483870968,0.0,0.25,0.0,0.0,0.0,0.25
1.48,18.095483870967744,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
1.5,18.998709677419356,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
1.52,17.450322580645164,17.450322580645164,0.0,0.25,0.0,0.0,0.0,0.25
1.54,18.482580645161292,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
1.56,19.51483870967742,18.095483870967744,0.0,0.25,0.0,0.0,0.0,0.25
1.58,19.643870967741936,18.353548387096776,0.0,0.25,0.0,0.0,0.0,0.25
1.6,17.708387096774196,17.837419354838712,0.0,0.25,0.0,0.0,0.0,0.25
1.62,19.256774193548388,18.482580645161292,0.0,0.25,0.0,0.0,0.0,0.25
